Kontext,Frage,Antwort
"Können Ferienkürzungen vorgenommen werden? Der Ferienanspruch der lernenden Person bleibt grundsätzlich vollumfänglich bestehen. Eine Kürzung im Falle einer unverschuldeten Abwesenheit, wie z.B. bei der Rekrutenschule ist nur möglich, wenn die Abwesenheit zwei volle Monate gedauert hat (OR Art. 329b Abs. 2). Danach gibt jeder zusätzliche volle Monat Abwesenheit das Recht auf die Kürzung des jährlichen Ferienanspruchs um einen Zwölftel.","Was passiert, wenn die Abwesenheit mehr als zwei volle Monate dauert? ", Danach gibt jeder zusätzliche volle Monat Abwesenheit das Recht auf die Kürzung des jährlichen Ferienanspruchs um einen Zwölftel.
"Kann der Berufsbildner oder die Berufsbildnerin der lernenden Person den Bezug der restlichen Ferientage vor Antritt der Rekrutenschule Ende Juni verweigern?Grundsätzlich bestimmt der Betrieb den Zeitpunkt der Ferien, berücksichtigt aber so weit wie möglich die Wünsche der Lernenden, wobei Anfragen zwei bis drei Monate vor Ferienbeginn mitgeteilt werden sollten. Da die Rekrutierung in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule erfolgt, sollte die Planung der Ferien frühzeitig möglich sein. Es ist nicht empfehlenswert die nicht bezogenen Ferientage auf der Basis des Lehrlingslohns auszuzahlen.",Kann der Berufsbildner oder die Berufsbildnerin der lernenden Person den Bezug der restlichen Ferientage vor Antritt der Rekrutenschule Ende Juni verweigern? ,"Grundsätzlich bestimmt der Betrieb den Zeitpunkt der Ferien, berücksichtigt aber so weit wie möglich die Wünsche der Lernenden"
"Kann der Berufsbildner oder die Berufsbildnerin der lernenden Person den Bezug der restlichen Ferientage vor Antritt der Rekrutenschule Ende Juni verweigern?Grundsätzlich bestimmt der Betrieb den Zeitpunkt der Ferien, berücksichtigt aber so weit wie möglich die Wünsche der Lernenden, wobei Anfragen zwei bis drei Monate vor Ferienbeginn mitgeteilt werden sollten. Da die Rekrutierung in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule erfolgt, sollte die Planung der Ferien frühzeitig möglich sein. Es ist nicht empfehlenswert die nicht bezogenen Ferientage auf der Basis des Lehrlingslohns auszuzahlen.",Wie lange im Voraus sollten Anfragen für Ferienwünsche der Lernenden mitgeteilt werden? , zwei bis drei Monate vor Ferienbeginn 
"Kann der Berufsbildner oder die Berufsbildnerin der lernenden Person den Bezug der restlichen Ferientage vor Antritt der Rekrutenschule Ende Juni verweigern?Grundsätzlich bestimmt der Betrieb den Zeitpunkt der Ferien, berücksichtigt aber so weit wie möglich die Wünsche der Lernenden, wobei Anfragen zwei bis drei Monate vor Ferienbeginn mitgeteilt werden sollten. Da die Rekrutierung in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule erfolgt, sollte die Planung der Ferien frühzeitig möglich sein. Es ist nicht empfehlenswert die nicht bezogenen Ferientage auf der Basis des Lehrlingslohns auszuzahlen.",Wann erfolgt die Rekrutierung für die Rekrutenschule in der Regel? , frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule 
"Kann der Berufsbildner oder die Berufsbildnerin der lernenden Person den Bezug der restlichen Ferientage vor Antritt der Rekrutenschule Ende Juni verweigern?Grundsätzlich bestimmt der Betrieb den Zeitpunkt der Ferien, berücksichtigt aber so weit wie möglich die Wünsche der Lernenden, wobei Anfragen zwei bis drei Monate vor Ferienbeginn mitgeteilt werden sollten. Da die Rekrutierung in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule erfolgt, sollte die Planung der Ferien frühzeitig möglich sein. Es ist nicht empfehlenswert die nicht bezogenen Ferientage auf der Basis des Lehrlingslohns auszuzahlen.","Ist es empfehlenswert, die nicht bezogenen Ferientage auf der Basis des Lehrlingslohns auszuzahlen? ", Es ist nicht empfehlenswert die nicht bezogenen Ferientage auf der Basis des Lehrlingslohns auszuzahlen.
"Eine lernende Person beginnt die Rekrutenschule im Durchdiener-Modell (Dauer: 300 Tage), hat die Abschlussprüfung aber nicht bestanden? Kann sie die Prüfung später nachholen? Für Repetentinnen und Repetenten gelten kantonal, unterschiedliche Anmeldefristen (i.d.R im Herbst). Bei nicht Bestehen gilt es, sich mit dem zuständigen kantonalen Berufsbildungsamt (resp. der dortigen Fachstelle Qualifikationsverfahren, Sitz des Lehrbetriebs ist massgebend) in Verbindung zu setzen, um an den Abschlussprüfungen des Folgejahrs teilnehmen zu können.",Wann beginnt eine lernende Person die Rekrutenschule im Durchdiener-Modell? , im Durchdiener-Modell (Dauer: 300 Tage)
"Eine lernende Person beginnt die Rekrutenschule im Durchdiener-Modell (Dauer: 300 Tage), hat die Abschlussprüfung aber nicht bestanden? Kann sie die Prüfung später nachholen? Für Repetentinnen und Repetenten gelten kantonal, unterschiedliche Anmeldefristen (i.d.R im Herbst). Bei nicht Bestehen gilt es, sich mit dem zuständigen kantonalen Berufsbildungsamt (resp. der dortigen Fachstelle Qualifikationsverfahren, Sitz des Lehrbetriebs ist massgebend) in Verbindung zu setzen, um an den Abschlussprüfungen des Folgejahrs teilnehmen zu können.","Was passiert, wenn die Abschlussprüfung nicht bestanden wird? ", Kann sie die Prüfung später nachholen? 
"Eine lernende Person beginnt die Rekrutenschule im Durchdiener-Modell (Dauer: 300 Tage), hat die Abschlussprüfung aber nicht bestanden? Kann sie die Prüfung später nachholen? Für Repetentinnen und Repetenten gelten kantonal, unterschiedliche Anmeldefristen (i.d.R im Herbst). Bei nicht Bestehen gilt es, sich mit dem zuständigen kantonalen Berufsbildungsamt (resp. der dortigen Fachstelle Qualifikationsverfahren, Sitz des Lehrbetriebs ist massgebend) in Verbindung zu setzen, um an den Abschlussprüfungen des Folgejahrs teilnehmen zu können.",Wann gelten für Repetentinnen und Repetenten kantonale Anmeldefristen? , (i.d.R im Herbst)
"Eine lernende Person beginnt die Rekrutenschule im Durchdiener-Modell (Dauer: 300 Tage), hat die Abschlussprüfung aber nicht bestanden? Kann sie die Prüfung später nachholen? Für Repetentinnen und Repetenten gelten kantonal, unterschiedliche Anmeldefristen (i.d.R im Herbst). Bei nicht Bestehen gilt es, sich mit dem zuständigen kantonalen Berufsbildungsamt (resp. der dortigen Fachstelle Qualifikationsverfahren, Sitz des Lehrbetriebs ist massgebend) in Verbindung zu setzen, um an den Abschlussprüfungen des Folgejahrs teilnehmen zu können.","An wen sollte man sich wenden, wenn man die Abschlussprüfung nicht besteht? "," sich mit dem zuständigen kantonalen Berufsbildungsamt (resp. der dortigen Fachstelle Qualifikationsverfahren, Sitz des Lehrbetriebs ist massgebend) in Verbindung zu setzen"
"Eine lernende Person beginnt die Rekrutenschule im Durchdiener-Modell (Dauer: 300 Tage), hat die Abschlussprüfung aber nicht bestanden? Kann sie die Prüfung später nachholen? Für Repetentinnen und Repetenten gelten kantonal, unterschiedliche Anmeldefristen (i.d.R im Herbst). Bei nicht Bestehen gilt es, sich mit dem zuständigen kantonalen Berufsbildungsamt (resp. der dortigen Fachstelle Qualifikationsverfahren, Sitz des Lehrbetriebs ist massgebend) in Verbindung zu setzen, um an den Abschlussprüfungen des Folgejahrs teilnehmen zu können.","Was ist das Ziel, wenn man sich mit dem zuständigen kantonalen Berufsbildungsamt in Verbindung setzt? ", um an den Abschlussprüfungen des Folgejahrs teilnehmen zu können
"Eine lernende Person tritt Ende Juni die Rekrutenschule an, hat die Abschlussprüfung aber nicht bestanden? Was kann sie tun? Ist es möglich, die Prüfung ohne Besuch des Berufsfachschulunterrichts ein Jahr später zu absolvieren, kann die lernende Person die RS antreten. Muss die lernende Person die Berufsfachschule weiterhin besuchen und hat mit der RS bereits begonnen, kann sie diese auf Gesuch hin abbrechen und nach der Wiederholungsprüfung erneut mit der RS starten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben.",Wann tritt eine lernende Person die Rekrutenschule an? , Ende Juni 
"Eine lernende Person tritt Ende Juni die Rekrutenschule an, hat die Abschlussprüfung aber nicht bestanden? Was kann sie tun? Ist es möglich, die Prüfung ohne Besuch des Berufsfachschulunterrichts ein Jahr später zu absolvieren, kann die lernende Person die RS antreten. Muss die lernende Person die Berufsfachschule weiterhin besuchen und hat mit der RS bereits begonnen, kann sie diese auf Gesuch hin abbrechen und nach der Wiederholungsprüfung erneut mit der RS starten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben.","Was kann eine lernende Person tun, wenn sie die Abschlussprüfung nicht bestanden hat? ", die Prüfung ohne Besuch des Berufsfachschulunterrichts ein Jahr später zu absolvieren
"Eine lernende Person tritt Ende Juni die Rekrutenschule an, hat die Abschlussprüfung aber nicht bestanden? Was kann sie tun? Ist es möglich, die Prüfung ohne Besuch des Berufsfachschulunterrichts ein Jahr später zu absolvieren, kann die lernende Person die RS antreten. Muss die lernende Person die Berufsfachschule weiterhin besuchen und hat mit der RS bereits begonnen, kann sie diese auf Gesuch hin abbrechen und nach der Wiederholungsprüfung erneut mit der RS starten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben.","Kann die lernende Person die RS antreten, wenn sie die Prüfung ein Jahr später absolviert? ", kann die lernende Person die RS antreten
"Eine lernende Person tritt Ende Juni die Rekrutenschule an, hat die Abschlussprüfung aber nicht bestanden? Was kann sie tun? Ist es möglich, die Prüfung ohne Besuch des Berufsfachschulunterrichts ein Jahr später zu absolvieren, kann die lernende Person die RS antreten. Muss die lernende Person die Berufsfachschule weiterhin besuchen und hat mit der RS bereits begonnen, kann sie diese auf Gesuch hin abbrechen und nach der Wiederholungsprüfung erneut mit der RS starten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben.","Was kann die lernende Person tun, wenn sie die Berufsfachschule weiterhin besuchen muss und die RS bereits begonnen hat? ", sie diese auf Gesuch hin abbrechen und nach der Wiederholungsprüfung erneut mit der RS starten
"Eine lernende Person tritt Ende Juni die Rekrutenschule an, hat die Abschlussprüfung aber nicht bestanden? Was kann sie tun? Ist es möglich, die Prüfung ohne Besuch des Berufsfachschulunterrichts ein Jahr später zu absolvieren, kann die lernende Person die RS antreten. Muss die lernende Person die Berufsfachschule weiterhin besuchen und hat mit der RS bereits begonnen, kann sie diese auf Gesuch hin abbrechen und nach der Wiederholungsprüfung erneut mit der RS starten. Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben.","Welche Ausbildung sollte Vorrang haben, die berufliche Erstausbildung oder die militärische Ausbildung? ", Der Abschluss der beruflichen Erstausbildung sollte in jedem Fall Vorrang vor der militärischen Ausbildung haben.
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.",Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? , Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.",Wann werden Stellungspflichtige spätestens zur Rekrutierung aufgeboten? ," spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden"
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.","Was passiert, wenn Stellungspflichtige bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten wurden? ", werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.",Was wird bei der Rekrutierung festgelegt? ," die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) "
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.",Wann werden Stellungspflichtige in der Regel zur Rekrutierung aufgeboten? , frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule 
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.",Bis zu welchem Alter müssen Stellungspflichtige spätestens zur Rekrutierung aufgeboten werden? ," in dem Jahr, in dem sie das 24. Altersjahr vollenden"
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.","Was passiert, wenn Stellungspflichtige bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten wurden? ", werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben
"Kann bei der Rekrutierung der Zeitpunkt des Beginns der Rekrutenschule gewählt werden? Stellungspflichtige werden in der Regel frühestens zwölf Monate und spätestens drei Monate vor Beginn der Rekrutenschule zur Rekrutierung aufgeboten, aber spätestens in dem Jahr, in dem sie das 24. Altersjahr vollenden. Stellungspflichtige, die bis zum vollendeten 21. Altersjahr nicht zur Rekrutierung aufgeboten worden sind, werden durch die Kreiskommandanten oder Kreiskommandantinnen jährlich bezüglich des Zeitpunkts der Rekrutenschule angeschrieben. Bei der Rekrutierung wird die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) festgelegt.",Was wird bei der Rekrutierung festgelegt? ," die Zuteilung zu einer Rekrutierungsfunktion der Armee, der Beginn (Jahr, Start Winter- oder Sommer-RS) und der Ort der militärischen Ausbildung sowie das Dienstleistungsmodell (WK-Modell oder Durchdienen) "
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.,Wann werden militärdienstpflichtige Männer zu Wiederholungskursen aufgeboten? , jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.,Können Wiederholungskurse verschoben werden? , Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.,Muss der verschobene Wiederholungskurs nachgeholt werden? , Der verschobene Wiederholungskurs muss nachgeholt werden. 
Kann der Wiederholungskurs (WK) verschoben werden? Nach der RS und/oder der militärischen Weiterausbildung werden militärdienstpflichtige Männer jährlich bis zur Erfüllung der Gesamtdienstleistungspflicht zu Wiederholungskursen aufgeboten. Wiederholungskurse können auf ein begründetes Gesuch hin verschoben werden. Der verschobene Wiederholungskurs muss nachgeholt werden. Gesuche sind der zuständigen Militärbehörde (Kreiskommando) einzureichen.,An welche Behörde sind Gesuche zur Verschiebung von Wiederholungskursen einzureichen? , der zuständigen Militärbehörde (Kreiskommando) 
"Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.",Was ist der Zivildienst? , Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. 
"Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.",Wie lange dauert der zivile Ersatzdienst? ," Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. "
"Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.",Gibt es eine Pflicht zur Dienstleistung beim Zivildienst? , Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. 
"Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.","Was passiert, wenn jemand eine Berufslehre absolviert und Zivildienst leisten muss? ", Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. 
"Zivildienst Die Dienstleistung in der Armee kann mit unüberwindbaren Gewissenskonflikten verbunden sein. Die Bundesverfassung garantiert in diesen Fällen mit Art. 59 eine Alternative: den zivilen Ersatzdienst. Die Dauer des zivilen Ersatzdienstes beträgt das 1,5-Fache der üblichen militärischen Dienstpflicht. Gleich wie beim Militärdienst besteht auch beim Zivildienst eine Pflicht zur Dienstleistung. Im Falle einer noch nicht abgeschlossenen Berufslehre müssen die Einsätze deshalb mit der Ausbildung koordiniert werden. Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.",Haben Zivildienstleistende Anspruch auf Erwerbsersatz? , Wie Angehörige der Armee haben auch Zivildienstleistende Anspruch auf Erwerbsersatz.
"Was ist ein Lehrbetriebsverbund? Ein Lehrbetriebsverbund ist ein Zusammenschluss von mehreren Betrieben, die alleine nicht ausbilden können resp. wollen. Die Betriebe ergänzen sich mit ihren Tätigkeiten und können so Lernenden eine umfassende Bildung in beruflicher Praxis gewährleisten.",Was ist ein Lehrbetriebsverbund? ," Ein Lehrbetriebsverbund ist ein Zusammenschluss von mehreren Betrieben, die alleine nicht ausbilden können resp. wollen. "
"Was ist ein Lehrbetriebsverbund? Ein Lehrbetriebsverbund ist ein Zusammenschluss von mehreren Betrieben, die alleine nicht ausbilden können resp. wollen. Die Betriebe ergänzen sich mit ihren Tätigkeiten und können so Lernenden eine umfassende Bildung in beruflicher Praxis gewährleisten.",Warum schließen sich Betriebe zu einem Lehrbetriebsverbund zusammen? , Die Betriebe ergänzen sich mit ihren Tätigkeiten und können so Lernenden eine umfassende Bildung in beruflicher Praxis gewährleisten.
"Lehrbetriebsverbünde bestimmen eine Leitorganisation oder einen Leitbetrieb, die oder der den Lehrvertrag mit den Lernenden abschliesst. Diese Leitstellen erhalten die Bildungsbewilligung und regeln die Zusammenarbeit mit den beteiligten Ausbildungsbetrieben. Zudem vertreten sie den Verbund nach aussen (Kantone und Dritte). Die Lernenden werden in verschiedenen Betrieben ausgebildet (Rotationsprinzip). Somit können sich kleine oder spezialisierte Betriebe aktiv an der beruflichen Grundbildung beteiligen. Bezüglich Organisation lässt sich die Ausbildung in einem Lehrbetriebsverbund mit der Ausbildung in einem Betrieb mit mehreren Abteilungen vergleichen. Der administrative sowie der Bildungsaufwand der einzelnen Betriebe werden durch die zentrale Verwaltung einer Leitorganisation optimiert.",Was bestimmen Lehrbetriebsverbünde? , eine Leitorganisation oder einen Leitbetrieb
"Lehrbetriebsverbünde bestimmen eine Leitorganisation oder einen Leitbetrieb, die oder der den Lehrvertrag mit den Lernenden abschliesst. Diese Leitstellen erhalten die Bildungsbewilligung und regeln die Zusammenarbeit mit den beteiligten Ausbildungsbetrieben. Zudem vertreten sie den Verbund nach aussen (Kantone und Dritte). Die Lernenden werden in verschiedenen Betrieben ausgebildet (Rotationsprinzip). Somit können sich kleine oder spezialisierte Betriebe aktiv an der beruflichen Grundbildung beteiligen. Bezüglich Organisation lässt sich die Ausbildung in einem Lehrbetriebsverbund mit der Ausbildung in einem Betrieb mit mehreren Abteilungen vergleichen. Der administrative sowie der Bildungsaufwand der einzelnen Betriebe werden durch die zentrale Verwaltung einer Leitorganisation optimiert.",Was erhalten die Leitstellen? , die Bildungsbewilligung 
"Lehrbetriebsverbünde bestimmen eine Leitorganisation oder einen Leitbetrieb, die oder der den Lehrvertrag mit den Lernenden abschliesst. Diese Leitstellen erhalten die Bildungsbewilligung und regeln die Zusammenarbeit mit den beteiligten Ausbildungsbetrieben. Zudem vertreten sie den Verbund nach aussen (Kantone und Dritte). Die Lernenden werden in verschiedenen Betrieben ausgebildet (Rotationsprinzip). Somit können sich kleine oder spezialisierte Betriebe aktiv an der beruflichen Grundbildung beteiligen. Bezüglich Organisation lässt sich die Ausbildung in einem Lehrbetriebsverbund mit der Ausbildung in einem Betrieb mit mehreren Abteilungen vergleichen. Der administrative sowie der Bildungsaufwand der einzelnen Betriebe werden durch die zentrale Verwaltung einer Leitorganisation optimiert.",Welche Betriebe können sich aktiv an der beruflichen Grundbildung beteiligen? , kleine oder spezialisierte Betriebe 
